Ebin,obs,down_err,up_err
0.120710678100586,2.45E-11,1.22E-11,1.22E-11
0.170710678100586,2.45E-11,1.22E-11,1.22E-11
0.241421356201172,2.45E-11,1.22E-11,1.22E-11
0.341421356201172,2.45E-11,1.22E-11,2.17E-09
0.482842712402344,7.00E-08,1.71E-08,1.71E-08
0.682842712402344,1.79E-07,1.86E-08,1.86E-08
0.965685424804688,3.95E-07,2.06E-08,2.06E-08
1.36568542480469,5.32E-07,2.04E-08,2.04E-08
1.93137084960938,5.90E-07,2.19E-08,2.19E-08
2.73137084960938,6.02E-07,2.43E-08,2.43E-08
3.86274169921875,6.81E-07,3.00E-08,3.00E-08
5.46274169921875,5.88E-07,3.40E-08,3.40E-08
7.7254833984375,4.37E-07,3.61E-08,3.61E-08
10.9254833984375,3.91E-07,3.72E-08,3.72E-08
15.450966796875,2.52E-07,4.04E-08,4.04E-08
21.850966796875,2.95E-07,4.13E-08,4.13E-08
30.90193359375,2.99E-07,4.30E-08,4.30E-08
43.70193359375,1.77E-07,4.35E-08,4.35E-08
61.8038671875,3.13E-07,4.98E-08,4.98E-08
87.4038671875,1.61E-07,4.37E-08,4.37E-08
123.607734375,2.67E-07,4.36E-08,4.36E-08
174.807734375,1.49E-07,4.34E-08,4.34E-08
247.21546875,1.49E-07,4.73E-08,4.73E-08
349.61546875,1.70E-09,1.69E-09,6.39E-08
494.4309375,1.20E-07,5.19E-08,5.19E-08
699.2309375,2.45E-11,1.22E-11,1.22E-11
988.861875,2.45E-11,1.22E-11,1.22E-11
