Ebin,obs,down_err,up_err
0.682842712402344,1.79e-07,1.86e-08,1.86e-08
0.965685424804688,3.95e-07,2.06e-08,2.06e-08
1.36568542480469,5.32e-07,2.04e-08,2.04e-08
1.93137084960938,5.9e-07,2.19e-08,2.19e-08
2.73137084960938,6.02e-07,2.43e-08,2.43e-08
3.86274169921875,6.81e-07,3e-08,3e-08
5.46274169921875,5.88e-07,3.4e-08,3.4e-08
7.7254833984375,4.37e-07,3.61e-08,3.61e-08
10.9254833984375,3.91e-07,3.72e-08,3.72e-08
15.450966796875,2.52e-07,4.04e-08,4.04e-08
21.850966796875,2.95e-07,4.13e-08,4.13e-08
30.90193359375,2.99e-07,4.3e-08,4.3e-08
43.70193359375,1.77e-07,4.35e-08,4.35e-08
61.8038671875,3.13e-07,4.98e-08,4.98e-08
87.4038671875,1.61e-07,4.37e-08,4.37e-08
123.607734375,2.67e-07,4.36e-08,4.36e-08
174.807734375,1.49e-07,4.34e-08,4.34e-08
247.21546875,1.49e-07,4.73e-08,4.73e-08
494.4309375,1.2e-07,5.19e-08,5.19e-08
